"Freq [GHz]","Phase [deg]","Distance [um]","(phase3*180/pi) []","phase4*180/pi []"
185.875,0,169.5,-104.535963988107,85.1450727653816
185.875,0,176.28,-104.543259614517,85.1462403515541
185.875,0,183.06,-104.550537712994,85.1474090697495
185.875,0,189.84,-104.339466684045,85.1485789216111
185.875,0,196.62,-104.340585596234,85.1497499087856
185.875,0,203.4,-104.341705647764,85.1509220329227
185.875,0,210.18,-104.342826840375,85.1520952956752
185.875,0,216.96,-104.343949175809,85.1532696986994
185.875,0,223.74,-104.345072655813,85.1544452436546
185.875,0,230.52,-104.346197282137,85.1556219322034
185.875,0,237.3,-104.347323056534,85.1567997660115
185.875,0,244.08,-104.348449980761,85.1579787467481
185.875,0,250.86,-104.349578056578,85.1591588760854
185.875,0,257.64,-104.354775057728,85.1548991652006
185.875,0,264.42,-104.350584484153,85.1529995223488
185.875,0,271.2,-104.346389545639,85.1510968676626
185.875,0,277.98,-104.342190235424,85.1491911939558
185.875,0,284.76,-104.337986546735,85.1472824940199
185.875,0,291.54,-104.333778472786,85.1453707606231
185.875,0,298.32,-104.320457657457,85.292072919096
185.875,0,305.1,-104.311935304554,85.2884031766678
185.875,0,311.88,-104.303421409236,85.2847347414739
185.875,0,318.66,-104.294915959293,85.1987683884937
185.875,0,325.44,-104.286418942533,85.1867263710737
185.875,0,332.22,-104.277930346789,85.1747278749341
185.875,0,339,-104.269450159916,85.1627726655527
185.875,0,345.78,-104.373637486149,85.1137671908672
185.875,0,352.56,-104.378481344612,85.1142805511382
185.875,0,359.34,-104.383325788353,85.114793264584
185.875,0,366.12,-104.388170817415,85.1153053324232
185.875,0,372.9,-104.529828664429,85.1158167558711
185.875,0,379.68,-104.516886721854,85.1163275361402
185.875,0,386.46,-104.503943182854,85.1168376744398
185.875,0,393.24,-104.490998048422,85.1173471719761
185.875,0,400.02,-104.47805131955,85.1178560299525
185.875,0,406.8,-104.465102997231,85.1183642495692
185.875,0,413.58,-104.452153082461,85.1188718320235
185.875,0,420.36,-104.439201576235,85.1193787785097
185.875,0,427.14,-104.426248479548,85.1198850902191
185.875,0,433.92,-104.414483577262,85.12039076834
185.875,0,440.7,-104.407271132727,85.1208958140577
185.875,0,447.48,-104.400059636289,85.2002402394108
185.875,0,454.26,-104.392849087996,85.2082471772022
185.875,0,461.04,-104.437508124831,85.2162670045981
185.875,0,467.82,-104.44300639227,85.2242997524464
185.875,0,474.6,-104.448502001249,84.8144125623065
185.875,0,481.38,-104.453994953578,85.1652491555885
185.875,0,488.16,-104.459485251066,85.1312659046157
185.875,0,494.94,-104.464972895521,85.0973414582614
185.875,0,501.72,-104.470457888748,85.0634756877126
185.875,0,508.5,-104.475940232552,85.0296684644378
185.875,0,515.28,-104.481419928735,84.9959196601865
185.875,0,522.06,-104.486896979099,84.9622291469891
185.875,0,528.84,-104.515466077888,84.9285967971563
185.875,0,535.62,-104.508978306079,84.8950224832795
185.875,0,542.4,-104.502491427174,84.8615060782299
185.875,0,549.18,-104.451566418002,85.0764171628713
185.875,0,555.96,-104.451168964664,85.0649615262783
185.875,0,562.74,-104.450769431444,85.0534739647257
185.875,0,569.52,-104.450367802189,85.0419543454815
185.875,0,576.3,-104.44996406058,85.0304025350822
185.875,0,583.08,-104.549475832132,85.0188183993274
185.875,0,589.86,-104.555375463788,85.1998732454008
185.875,0,596.64,-104.561279623094,85.1902385970745
185.875,0,603.42,-104.567188315134,85.1806060783247
185.875,0,610.2,-104.771732959821,85.1709756889889
185.875,0,616.98,-104.740965282072,85.1613474289044
185.875,0,623.76,-104.710135121826,85.1517212979078
185.875,0,630.54,-104.679242306447,85.1420972958357
185.875,0,637.32,-104.648286662747,85.1324754225238
185.875,0,644.1,-104.617268016978,85.1228556778078
185.875,0,650.88,-104.586186194829,85.1132380615228
185.875,0,657.66,-104.555041021431,85.1036225735035
185.875,0,664.44,-104.523832321349,85.0940092135843
185.875,0,671.22,-104.492559918581,85.0843979815991
185.875,0,678,-104.461223636561,85.0747888773814
187.5,0,0,-118.823526753983,70.573839212099
187.5,0,6.78,-119.034002935911,70.5684173711202
187.5,0,13.56,-119.049215104508,70.5630143792255
187.5,0,20.34,-119.06440377462,70.5576301383107
187.5,0,27.12,-119.07956899851,70.55226455095
187.5,0,33.9,-119.094710828294,70.5469175203912
187.5,0,40.68,-119.109829315939,70.5415889505492
187.5,0,47.46,-119.124924513267,70.5362787460003
187.5,0,54.24,-119.139996471952,70.530986811977
187.5,0,61.02,-119.155045243521,70.5257130543619
187.5,0,67.8,-119.170070879358,70.5204573796825
187.5,0,74.58,-119.185073430699,70.5152196951053
187.5,0,81.36,-119.200052948638,70.5099999084307
187.5,0,88.14,-119.215009484123,70.5047979280873
187.5,0,94.92,-118.854620433819,70.499613663127
187.5,0,101.7,-118.862312009616,70.4944470232192
187.5,0,108.48,-118.869984534914,70.4892979186459
187.5,0,115.26,-118.877638080137,70.4841662602964
187.5,0,122.04,-118.885272715364,70.4790519596624
187.5,0,128.82,-118.89288851033,70.4739549288324
187.5,0,135.6,-118.900485534431,70.9532246574781
187.5,0,142.38,-118.908063856721,70.1724646784877
187.5,0,149.16,-118.915623545919,70.8739070429358
187.5,0,155.94,-118.923164670409,70.8751130221401
187.5,0,162.72,-118.93068729824,70.8763201882981
187.5,0,169.5,-118.938191497134,70.8775285431589
187.5,0,176.28,-118.94567733448,70.8787380884749
187.5,0,183.06,-118.953144877342,70.8799488260021
187.5,0,189.84,-118.736674834239,70.8811607574997
187.5,0,196.62,-118.73781915593,70.8823738847308
187.5,0,203.4,-118.738964666242,70.8835882094614
187.5,0,210.18,-118.740111367022,70.8848037334614
187.5,0,216.96,-118.74125926012,70.8860204585041
187.5,0,223.74,-118.74240834739,70.8872383863661
187.5,0,230.52,-118.743558630689,70.8884575188279
187.5,0,237.3,-118.744710111878,70.889677857673
187.5,0,244.08,-118.745862792823,70.8908994046888
187.5,0,250.86,-118.747016675394,70.8921221616662
187.5,0,257.64,-118.752298811287,70.8874462478135
187.5,0,264.42,-118.747989674768,70.8854814160269
187.5,0,271.2,-118.743675964333,70.8835134046127
187.5,0,277.98,-118.739357672764,70.8815422058406
187.5,0,284.76,-118.735034792828,70.8795678119555
187.5,0,291.54,-118.730707317278,70.8775902151768
187.5,0,298.32,-118.716944005526,71.0285359657814
187.5,0,305.1,-118.708199030919,71.0247849334706
187.5,0,311.88,-118.699462920117,71.0210352906897
187.5,0,318.66,-118.690735660093,70.9332294811363
187.5,0,325.44,-118.682017237845,70.9208295472602
187.5,0,332.22,-118.673307640393,70.9084752360072
187.5,0,339,-118.664606854786,70.8961662971961
187.5,0,345.78,-118.771592709135,70.8452772709509
187.5,0,352.56,-118.776566504583,70.8458202160272
187.5,0,359.34,-118.781540949852,70.8463624753145
187.5,0,366.12,-118.786516045008,70.8469040501253
187.5,0,372.9,-118.931900144389,70.8474449417688
187.5,0,379.68,-118.918622426886,70.8479851515506
187.5,0,386.46,-118.905343086089,70.8485246807732
187.5,0,393.24,-118.892062123118,70.8490635307356
187.5,0,400.02,-118.878779539099,70.8496017027337
187.5,0,406.8,-118.865495335155,70.85013919806
187.5,0,413.58,-118.852209512412,70.8506760180037
187.5,0,420.36,-118.838922071996,70.8512121638508
187.5,0,427.14,-118.825633015035,70.8517476368839
187.5,0,433.92,-118.813589822727,70.8522824383825
187.5,0,440.7,-118.8062002617,70.8528165696228
187.5,0,447.48,-118.798811687931,70.9345093968539
187.5,0,454.26,-118.791424101465,70.9427554076401
187.5,0,461.04,-118.837342459165,70.9510149129215
187.5,0,467.82,-118.842976757469,70.9592879455307
187.5,0,474.6,-118.848608251921,70.5382734481917
187.5,0,481.38,-118.854236944452,70.8989533402267
187.5,0,488.16,-118.859862836995,70.8640171262864
187.5,0,494.94,-118.865485931478,70.8291421777503
187.5,0,501.72,-118.871106229828,70.7943283593169
187.5,0,508.5,-118.87672373397,70.7595755359782
187.5,0,515.28,-118.88233844583,70.7248835730199
187.5,0,522.06,-118.887950367329,70.6902523360205
187.5,0,528.84,-118.917257316707,70.6556816908515
187.5,0,535.62,-118.910590890218,70.6211715036771
187.5,0,542.4,-118.903925406474,70.586721640954
187.5,0,549.18,-118.851536456609,70.8066899271604
187.5,0,555.96,-118.851152168227,70.7949784010046
187.5,0,562.74,-118.850765954029,70.7832337287682
